date,sym,mkt,hml,wml
2024-11-13,AAPL,0.9051169,-0.4822554,-0.2309234
2024-11-13,JPM,1.177177,1.552991,0.3908706
2024-11-13,TSLA,3.191926,-0.1662065,-1.289322
2024-11-13,XOM,0.4955383,0.4475082,-0.436903
2024-11-14,AAPL,0.885955,-0.44258,-0.2091209
2024-11-14,JPM,1.179037,1.546992,0.387061
2024-11-14,TSLA,3.220814,-0.228396,-1.321038
2024-11-14,XOM,0.4961337,0.4462366,-0.4366486
2024-11-15,AAPL,0.8805352,-0.4327755,-0.2059165
2024-11-15,JPM,1.173583,1.556234,0.389905
2024-11-15,TSLA,3.107608,-0.01402216,-1.257059
2024-11-15,XOM,0.518545,0.402358,-0.4481014
2024-11-18,AAPL,0.896049,-0.4317733,-0.2224681
2024-11-18,JPM,1.161167,1.555063,0.4028307
2024-11-18,TSLA,3.175973,-0.01026121,-1.327785
2024-11-18,XOM,0.5258392,0.4026304,-0.4553503
2024-11-19,AAPL,0.9096294,-0.4152727,-0.2429027
2024-11-19,JPM,1.145316,1.536333,0.4257953
2024-11-19,TSLA,3.128404,-0.06564425,-1.258013
2024-11-19,XOM,0.5322132,0.4102322,-0.4650861
2024-11-20,AAPL,0.909777,-0.4157645,-0.2442202
2024-11-20,JPM,1.142545,1.539232,0.4348938
2024-11-20,TSLA,3.123642,-0.05762809,-1.23641
2024-11-20,XOM,0.5364316,0.4046679,-0.4803694
2024-11-21,AAPL,0.9046003,-0.4165495,-0.2386463
2024-11-21,JPM,1.147135,1.539626,0.4288973
2024-11-21,TSLA,3.097564,-0.0617973,-1.206291
2024-11-21,XOM,0.5430033,0.4057342,-0.4880318
2024-11-22,AAPL,0.904497,-0.4161762,-0.2418601
2024-11-22,JPM,1.146604,1.539654,0.4249561
2024-11-22,TSLA,3.09796,-0.06068655,-1.219994
2024-11-22,XOM,0.5424898,0.4052302,-0.4833474
2024-11-25,AAPL,0.9136127,-0.4228285,-0.2748
2024-11-25,JPM,1.15161,1.535322,0.4057485
2024-11-25,TSLA,3.020209,-0.00783338,-0.9542636
2024-11-25,XOM,0.518515,0.422095,-0.3995421
2024-11-26,AAPL,0.9157187,-0.4231757,-0.2677331
