qdate,gross,fees,traded,sold,trades
8202,-867.54,345.33,22610866.84,11304999.66,482
8203,-7177.01,311.63,20506060.83,10249441.91,472
8207,-9859.57,397.25,26360553.42,13175346.93,506
8208,111.71,390.68,25802622.06,12901366.88,501
8209,-714.65,328.08,21696396.90,10847841.13,498
8210,2660.04,352.33,23446488.17,11724574.11,485
8213,4675.92,322.05,21238087.30,10621381.61,490
8214,3994.75,306.05,20483335.85,10243665.30,471
8215,-566.90,339.47,22548704.23,11274068.66,483
8216,4651.93,361.72,24170275.61,12087463.77,476
8217,-4640.50,355.48,23482445.75,11738902.63,477
8221,-5899.04,315.75,20694721.07,10344411.02,473
8222,10594.32,347.93,23184153.46,11597373.89,454
8223,4966.23,320.42,21441609.08,10723287.66,461
8224,-169.81,316.80,20935042.02,10467436.11,450
8227,4529.05,330.74,22068059.65,11036294.35,474
8228,-1481.43,290.35,19253245.50,9625882.04,471
8229,-3517.52,323.22,21265678.54,10631080.51,477
8230,-533.40,326.81,21729108.70,10864287.65,475
8231,-7117.34,321.02,21145987.77,10569435.21,471
8234,2690.58,304.35,20219591.35,10111140.96,484
8235,338.63,309.22,20630524.85,10315431.74,481
8236,-1766.21,283.62,18985316.38,9491775.08,498
8237,9865.86,363.37,24124651.62,12067258.74,477
8238,-2333.59,350.90,23445588.55,11721627.48,474
8241,1169.50,312.61,20968832.36,10485000.93,461
8242,-7692.34,355.89,23814802.90,11903555.28,488
8243,4857.87,320.86,21469425.67,10737141.77,473
8244,5542.15,363.28,24267661.14,12136601.65,497
8245,3931.82,350.35,23424513.97,11714222.90,486
8248,3040.98,346.60,23099395.93,11551218.46,468
8249,1656.54,296.73,19798539.95,9900098.24,477
8250,4650.53,360.11,23973554.60,11989102.57,462
8251,-3716.43,328.02,21711074.09,10853678.83,479
8252,5333.20,335.91,22284565.62,11144949.41,461
8255,-4073.90,314.08,20796538.39,10396232.24,474
8256,159.65,317.58,21236634.02,10618396.84,505
8257,328.02,339.88,22679186.36,11339757.19,467
8258,2404.77,312.21,20899292.90,10450848.84,479
8259,1974.69,327.39,21858957.36,10930466.03,469
8262,5282.97,327.35,21714236.20,10859759.58,448
8263,4273.33,327.96,21819740.65,10912006.99,464
8264,-377.93,294.83,19616753.32,9808187.70,470
8265,-2737.89,282.55,18871639.56,9434450.83,458
8266,-229.88,331.90,22220773.01,11110271.56,466
8269,29.21,303.80,20304683.08,10152356.14,492
8270,271.02,321.88,21504612.54,10752441.78,468
8271,1911.68,335.80,22292951.26,11147431.47,487
8272,-2343.78,325.81,21849474.68,10923565.45,490
8273,-3196.78,296.76,19841707.46,9919255.34,485
8276,-1574.92,347.31,22994435.00,11496430.04,481
8277,-2136.19,312.96,20850536.54,10424200.17,463
8278,-6706.50,284.51,18839358.65,9416326.07,509
8279,-11256.61,334.57,22324805.02,11156774.20,533
8280,-1341.79,282.58,18579395.85,9289027.03,483
8284,-2944.96,294.70,19648860.75,9822957.89,490
8285,1598.37,344.57,22830172.69,11415885.53,468
8286,2642.94,334.09,22103300.90,11052971.91,475
8287,-1033.70,349.62,23393024.44,11695995.37,474
8290,978.54,302.61,20148352.27,10074665.40,459
8291,-2948.23,251.70,16648854.36,8322953.07,471
8292,-712.21,312.15,20562157.90,10280722.85,492
8293,5259.01,333.27,22126496.25,11065877.63,486
8294,6757.30,332.19,21883441.03,10945099.16,473
8297,89.78,337.03,22087861.10,11043975.44,488
8298,-1559.51,354.50,23467320.74,11732880.62,483
8299,4224.53,316.72,20924177.47,10464201.00,474
8300,-372.52,381.38,25453445.46,12726536.47,487
8301,-63.83,335.31,21909399.44,10954667.81,487
8304,-632.10,345.66,22614611.38,11306989.65,495
8305,730.56,292.84,19279086.91,9639908.73,480
8306,605.36,344.28,22558431.58,11279518.47,489
8307,-2627.17,301.91,19988580.94,9992976.89,482
8308,5448.56,325.90,21549076.18,10777262.37,466
8311,2950.76,339.31,22573400.25,11288175.50,482
8312,7479.63,323.31,21196902.79,10602191.21,468
8313,-3436.96,304.85,20096350.24,10046456.64,481
8314,-3075.62,306.60,20236824.31,10116874.34,493
8315,4491.91,319.65,21175991.64,10590241.78,483
8318,3239.26,337.01,22121312.06,11062275.66,501
8319,11158.88,380.53,24906980.53,12459069.70,464
8320,-5703.89,291.50,19197449.54,9595872.83,520
8321,7978.97,360.87,23711541.18,11859760.07,497
8322,410.14,346.57,22926108.55,11463259.34,473
